loss_fuction,optimizer,learning_rate,preTrainVGG,epoc_300,epoc_600,epoc_900,epoc_1200,epoc_1500,epoc_1800,epoc_2100,epoc_2400,epoc_2700,epoc_3000,epoc_3300,epoc_3600,epoc_3900,epoc_4200,epoc_4500
lsgan,rms,1e-05,1,0.06084626913070679,0.011344283819198608,0.0009138882160186768,0.007151752710342407,0.00270882248878479,0.06035345792770386,0.004409223794937134,0.038712918758392334,0.005437761545181274,0.013219743967056274,0.011555463075637817,0.003512948751449585,0.00042498111724853516,0.018564343452453613,0.012858062982559204
lsgan,rms,5e-05,1,0.07739239931106567,0.004138141870498657,0.008553087711334229,0.0012524425983428955,0.028667211532592773,0.020612776279449463,0.01862850785255432,0.04192110896110535,0.014559924602508545,0.0070092082023620605,0.00709359347820282,0.01261797547340393,0.009541153907775879,0.02120080590248108,0.00775638222694397
lsgan,rms,0.0001,1,0.0012227892875671387,0.023279428482055664,0.01274135708808899,0.026128768920898438,0.018072068691253662,0.02452865242958069,0.0030267834663391113,0.018680572509765625,0.013092011213302612,0.017819106578826904,0.009337961673736572,0.05238842964172363,0.01224932074546814,0.013886332511901855,0.017164528369903564
lsgan,adam,1e-05,1,0.006098687648773193,0.011218130588531494,0.0077537596225738525,0.04159003496170044,0.015565693378448486,0.0073264241218566895,0.0008958578109741211,0.04645895957946777,0.02903115749359131,0.014177024364471436,0.031816333532333374,0.003227531909942627,0.003948301076889038,0.03621327877044678,0.03532099723815918
lsgan,adam,5e-05,1,0.04469221830368042,0.00022584199905395508,0.006399869918823242,0.0012574195861816406,0.0027659833431243896,0.03079184889793396,0.03928518295288086,0.004030555486679077,0.010637044906616211,0.0013245046138763428,0.004366040229797363,0.005430638790130615,0.0037027299404144287,0.00034368038177490234,0.003175705671310425
lsgan,adam,0.0001,1,0.0030784010887145996,0.0107993483543396,0.009460538625717163,0.007730424404144287,0.008190691471099854,0.0025055408477783203,0.008290529251098633,0.0009508132934570312,0.006044864654541016,0.0024872422218322754,0.0038571953773498535,0.00854724645614624,0.0017779171466827393,0.0006034970283508301,0.006852388381958008
mammo,rms,1e-05,1,0.0122336745262146,0.02663940191268921,0.011995106935501099,0.001368701457977295,0.019207656383514404,0.013086885213851929,0.03113090991973877,0.0030483007431030273,0.04152199625968933,0.002553313970565796,0.06510969996452332,0.023752689361572266,0.009924858808517456,0.030005663633346558,0.01956552267074585
mammo,rms,5e-05,1,0.006942003965377808,0.0013233423233032227,0.010569989681243896,0.0017858147621154785,0.04035377502441406,0.021363556385040283,0.021685779094696045,0.021072179079055786,0.012180715799331665,0.032931625843048096,0.009358823299407959,0.0246284157037735,0.03115636110305786,0.018829792737960815,0.010861188173294067
mammo,rms,0.0001,1,0.007038280367851257,0.02789849042892456,0.027690023183822632,0.010852187871932983,0.009854614734649658,0.005717873573303223,0.03182423114776611,0.007481992244720459,0.015179485082626343,0.003115832805633545,0.004823446273803711,0.008744150400161743,0.016375720500946045,0.0019256770610809326,0.0019930005073547363
mammo,adam,1e-05,1,0.0013523995876312256,0.08439412713050842,0.03702211380004883,0.02107715606689453,0.01153615117073059,0.01101355254650116,0.05172806978225708,0.006819427013397217,0.008058637380599976,0.0010436773300170898,0.014466077089309692,0.0008198320865631104,0.007458806037902832,0.0002828240394592285,0.017354190349578857
mammo,adam,5e-05,1,0.24327777326107025,0.3181071877479553,0.12793093919754028,0.2648316025733948,0.32256606221199036,0.1413104087114334,0.2728855013847351,0.24907708168029785,0.10164326429367065,0.2948843836784363,0.14142751693725586,0.31133732199668884,0.2665072977542877,0.2566481828689575,0.5903592705726624
mammo,adam,0.0001,1,0.16541609168052673,0.30619701743125916,0.0568048357963562,0.29829877614974976,0.32509279251098633,0.10441282391548157,0.0969301164150238,0.2677020728588104,0.17020636796951294,0.18166953325271606,0.06430313736200333,0.19079309701919556,0.14207887649536133,0.1671496033668518,0.4820502698421478
